Overs,Mdns,Runs,Wkts,Econ,Ave,SR
25,5,90,2,3.6,45,75
35,4,145,3,4.14,48.33,70
27,4,96,2,3.55,48,81
29.5,1,161,8,5.39,20.12,22.3
52,9,141,2,2.71,70.5,156
35.5,7,91,5,2.53,18.2,43
32,3,114,0,3.56,-,-
25,7,100,1,4,100,150
7,0,42,2,6,21,21
32,5,143,3,4.46,47.66,64
29,5,131,1,4.51,131,174
22,7,74,1,3.36,74,132
22,2,97,0,4.4,-,-
11,3,28,1,2.54,28,66
21,8,36,6,1.71,6,21
29,6,133,3,4.58,44.33,58
24.1,7,66,4,2.73,16.5,36.2
34,6,109,1,3.2,109,204
11,4,23,0,2.09,-,-
16,2,51,1,3.18,51,96
28,4,100,1,3.57,100,168
26.1,2,77,5,2.94,15.4,31.4
43,7,122,5,2.83,24.4,51.6
7,2,25,1,3.57,25,42
20.2,1,60,2,2.95,30,61
25.3,7,46,6,1.8,7.66,25.5
23,7,65,5,2.82,13,27.6
19,3,53,1,2.78,53,114
27,4,107,1,3.96,107,162
30.2,5,89,5,2.93,17.8,36.4
10,2,32,0,3.2,-,-
20,2,76,1,3.8,76,120
13,2,53,0,4.07,-,-
38,7,111,4,2.92,27.75,57
21,2,77,3,3.66,25.66,42
12,1,60,0,5,-,-
16,4,49,1,3.06,49,96
30,9,88,2,2.93,44,90
26.3,9,63,6,2.37,10.5,26.5
-,-,-,-,-,-,-
10,5,19,0,1.9,-,-
22,5,73,3,3.31,24.33,44
33.2,6,113,6,3.39,18.83,33.3
35,4,122,2,3.48,61,105
19,4,57,3,3,19,38
29,3,116,3,4,38.66,58
12,2,38,1,3.16,38,72
1,0,9,0,9,-,-
18,2,55,4,3.05,13.75,27
50.3,5,140,6,2.77,23.33,50.5
27,8,58,2,2.14,29,81
8.5,2,30,2,3.39,15,26.5
40,6,162,4,4.05,40.5,60
11,2,33,0,3,-,-
33.2,7,101,4,3.03,25.25,50
10.5,0,66,0,6.09,-,-
-,-,-,-,-,-,-
26,5,74,2,2.84,37,78
27,6,94,0,3.48,-,-
8,1,22,2,2.75,11,24
32.4,8,69,3,2.11,23,65.3
10,3,35,1,3.5,35,60
27,5,94,4,3.48,23.5,40.5
24.2,6,88,6,3.61,14.66,24.3
27.4,7,59,3,2.13,19.66,55.3
-,-,-,-,-,-,-
4,1,11,2,2.75,5.5,12
